#
0,Metric,CPUMetrics,CPUPercentUtil,1,2019-02-27T00:15:02-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,CPUMetrics,CPUPercentUtil,72,2019-02-27T00:15:02-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/2/CPUUtil,CPUMetrics,CPUPercentUtil,74,2019-02-27T00:15:02-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/3/CPUUtil,MemoryMetrics,MemoryPercentUtil,3,2019-02-27T00:15:02-0500,/redfish/v1/Chassis/Tray_2/Memory/MemoryControl/1/MemoryUtil,
3,Metric,CPUMetrics,CPUPercentUtil,2,2019-02-27T00:15:05-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
5,Metric,CPUMetrics,CPUPercentUtil,75,2019-02-27T00:15:07-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/2/CPUUtil,
6,Metric,CPUMetrics,CPUPercentUtil,3,2019-02-27T00:15:08-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
9,Metric,CPUMetrics,CPUPercentUtil,4,2019-02-27T00:15:11-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
10,Metric,CPUMetrics,CPUPercentUtil,80,2019-02-27T00:15:12-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/2/CPUUtil,CPUMetrics,CPUPercentUtil,53,2019-02-27T00:15:12-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/3/CPUUtil,MemoryMetrics,MemoryPercentUtil,6,2019-02-27T00:15:12-0500,/redfish/v1/Chassis/Tray_2/Memory/MemoryControl/1/MemoryUtil,
12,Metric,CPUMetrics,CPUPercentUtil,5,2019-02-27T00:15:14-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
15,Metric,CPUMetrics,CPUPercentUtil,6,2019-02-27T00:15:17-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,CPUMetrics,CPUPercentUtil,80,2019-02-27T00:15:17-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/2/CPUUtil,
18,Metric,CPUMetrics,CPUPercentUtil,7,2019-02-27T00:15:20-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
20,Metric,CPUMetrics,CPUPercentUtil,76,2019-02-27T00:15:22-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/2/CPUUtil,CPUMetrics,CPUPercentUtil,48,2019-02-27T00:15:22-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/3/CPUUtil,MemoryMetrics,MemoryPercentUtil,9,2019-02-27T00:15:22-0500,/redfish/v1/Chassis/Tray_2/Memory/MemoryControl/1/MemoryUtil,
21,Metric,CPUMetrics,CPUPercentUtil,8,2019-02-27T00:15:23-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
24,Metric,CPUMetrics,CPUPercentUtil,9,2019-02-27T00:15:26-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
25,Metric,CPUMetrics,CPUPercentUtil,75,2019-02-27T00:15:27-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/2/CPUUtil,
27,Metric,CPUMetrics,CPUPercentUtil,10,2019-02-27T00:15:29-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
30,Metric,CPUMetrics,CPUPercentUtil,11,2019-02-27T00:15:32-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,CPUMetrics,CPUPercentUtil,71,2019-02-27T00:15:32-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/2/CPUUtil,CPUMetrics,CPUPercentUtil,72,2019-02-27T00:15:32-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/3/CPUUtil,MemoryMetrics,MemoryPercentUtil,12,2019-02-27T00:15:32-0500,/redfish/v1/Chassis/Tray_2/Memory/MemoryControl/1/MemoryUtil,
33,Metric,CPUMetrics,CPUPercentUtil,12,2019-02-27T00:15:35-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
35,Metric,CPUMetrics,CPUPercentUtil,73,2019-02-27T00:15:37-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/2/CPUUtil,
36,Metric,CPUMetrics,CPUPercentUtil,13,2019-02-27T00:15:38-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
39,Metric,CPUMetrics,CPUPercentUtil,14,2019-02-27T00:15:41-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
40,Metric,CPUMetrics,CPUPercentUtil,73,2019-02-27T00:15:42-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/2/CPUUtil,CPUMetrics,CPUPercentUtil,62,2019-02-27T00:15:42-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/3/CPUUtil,MemoryMetrics,MemoryPercentUtil,15,2019-02-27T00:15:42-0500,/redfish/v1/Chassis/Tray_2/Memory/MemoryControl/1/MemoryUtil,
42,Metric,CPUMetrics,CPUPercentUtil,15,2019-02-27T00:15:44-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
45,Metric,CPUMetrics,CPUPercentUtil,16,2019-02-27T00:15:47-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,CPUMetrics,CPUPercentUtil,70,2019-02-27T00:15:47-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/2/CPUUtil,
48,Metric,CPUMetrics,CPUPercentUtil,17,2019-02-27T00:15:50-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
50,Metric,CPUMetrics,CPUPercentUtil,74,2019-02-27T00:15:52-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/2/CPUUtil,CPUMetrics,CPUPercentUtil,66,2019-02-27T00:15:52-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/3/CPUUtil,MemoryMetrics,MemoryPercentUtil,18,2019-02-27T00:15:52-0500,/redfish/v1/Chassis/Tray_2/Memory/MemoryControl/1/MemoryUtil,
51,Metric,CPUMetrics,CPUPercentUtil,18,2019-02-27T00:15:53-0500,/redfish/v1/Chassis/Tray_1/CPU/CPUControl/1/CPUUtil,
